               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045447,            0.065364,            0.016449,             0.67019,             0.60443,             0.68211,             0.44846,            0.041351,            0.038265,            0.010911,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061739,            0.017214,             0.74659,              0.6265,             0.72476,             0.48422,            0.040441,             0.03709,             0.00937,            0.086485,           0.0014851,           0.0014851
                   2,            0.044754,            0.070138,            0.015991,             0.77635,             0.64569,             0.74978,             0.48516,            0.040192,            0.036179,           0.0083066,            0.079254,           0.0022545,           0.0022545
                   3,            0.044038,            0.062046,            0.013605,              0.8024,             0.64895,             0.76146,             0.50138,            0.040225,            0.035921,           0.0075633,            0.072008,           0.0030079,           0.0030079
                   4,            0.044529,            0.060823,            0.013251,             0.77487,             0.69406,              0.7779,             0.51157,            0.040065,            0.035187,           0.0068913,            0.064746,           0.0037456,           0.0037456
                   5,            0.045285,             0.05613,            0.013651,             0.78098,             0.71429,             0.79271,             0.49764,            0.042039,            0.033522,           0.0063313,            0.057467,           0.0044673,           0.0044673
                   6,              0.0453,            0.050438,             0.01333,             0.77342,             0.72037,              0.7862,              0.4823,            0.043009,            0.033201,           0.0060784,            0.050173,           0.0051733,           0.0051733
                   7,              0.0478,            0.060097,            0.010304,             0.79757,              0.7115,             0.79938,             0.49043,            0.043342,            0.032705,           0.0055253,            0.042863,           0.0058634,           0.0058634
                   8,            0.047915,            0.058381,            0.012389,             0.80232,             0.71626,              0.8029,             0.47896,            0.045252,            0.032677,           0.0053233,            0.035538,           0.0065377,           0.0065377
                   9,            0.046143,            0.054646,            0.010056,             0.74932,             0.77929,             0.81339,             0.51769,            0.043131,            0.031977,            0.005228,            0.028196,           0.0071961,           0.0071961
                  10,            0.047939,            0.062384,            0.010221,             0.72212,             0.77506,             0.78958,             0.47501,            0.049281,            0.030613,           0.0051583,            0.020839,           0.0078387,           0.0078387
